id,name,spotify_uri
188,Frank Sinatra,spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0
189,Don Omar,spotify:artist:33ScadVnbm2X8kkUqOkC6Z
190,Morgan Wallen,spotify:artist:4oUHIQIBe0LHzYfvXNW4QM
191,System Of A Down,spotify:artist:5eAWCfyUhZtHHtBdNk56l1
192,Rita Ora,spotify:artist:5CCwRZC6euC8Odo6y9X8jr
193,The 1975,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW
194,Rae Sremmurd,spotify:artist:7iZtZyCzp3LItcw1wtPI3D
195,Tame Impala,spotify:artist:5INjqkS1o8h1imAzPqGZBb
196,Melanie Martinez,spotify:artist:63yrD80RY3RNEM2YDpUpO8
197,TWICE,spotify:artist:7n2Ycct7Beij7Dj7meI4X0
198,Muse,spotify:artist:12Chz98pHFMPJEknJQMWvI
199,Gucci Mane,spotify:artist:13y7CgLHjMVRMDqxdx0Xdo
200,Jack Johnson,spotify:artist:3GBPw9NK25X1Wt2OUvOwY3
201,The Notorious B.I.G.,spotify:artist:5me0Irg2ANcsgc93uaYrpb
202,Troye Sivan,spotify:artist:3WGpXCj9YhhfX11TToZcXP
203,Bon Jovi,spotify:artist:58lV9VcRSjABbAbfWS6skp
204,Paramore,spotify:artist:74XFHRwlV6OrjEM0A2NCMF
205,Mumford & Sons,spotify:artist:3gd8FJtBJtkRxdfbTu19U2
206,ABBA,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV
207,Slipknot,spotify:artist:05fG473iIaoy82BF1aGhL8
208,Bazzi,spotify:artist:4GvEc3ANtPPjt1ZJllr5Zl
209,Gusttavo Lima,spotify:artist:7MiDcPa6UiV3In7lIM71IN
210,Oasis,spotify:artist:2DaxqgrOhkeH0fpeiQq2f4
211,Morat,spotify:artist:5C4PDR4LnhZTbVnKWXuDKD
212,Sean Paul,spotify:artist:3Isy6kedDrgPYoTS1dazA9
213,Felix Jaehn,spotify:artist:4bL2B6hmLlMWnUEZnorEtG
214,The Lumineers,spotify:artist:16oZKvXb6WkQlVAjwo2Wbg
215,Justin Quiles,spotify:artist:14zUHaJZo1mnYtn6IBRaRP
216,Dalex,spotify:artist:0KPX4Ucy9dk82uj4GpKesn
217,Duki,spotify:artist:1bAftSH8umNcGZ0uyV7LMg
218,Swae Lee,spotify:artist:1zNqQNIdeOUZHb8zbZRFMX
219,Hailee Steinfeld,spotify:artist:5p7f24Rk5HkUZsaS3BLG5F
220,Julia Michaels,spotify:artist:0ZED1XzwlLHW4ZaG4lOT6m
221,Rammstein,spotify:artist:6wWVKhxIU2cEi0K81v7HvP
222,Alicia Keys,spotify:artist:3DiDSECUqqY1AuBP8qtaIa
223,Alok,spotify:artist:0NGAZxHanS9e0iNHpR8f2W
224,Madonna,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW
225,Jess Glynne,spotify:artist:4ScCswdRlyA23odg9thgIO
226,Zion & Lennox,spotify:artist:21451j1KhjAiaYKflxBjr1
227,Disclosure,spotify:artist:6nS5roXSAGhTGr34W6n7Et
228,Christina Aguilera,spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS
229,Kings of Leon,spotify:artist:2qk9voo8llSGYcZ6xrBzKx
230,6LACK,spotify:artist:4IVAbR2w4JJNJDDRFP3E83
231,Cheat Codes,spotify:artist:7DMveApC7UnC2NPfPvlHSU
232,Tove Lo,spotify:artist:4NHQUGzhtTLFvgF5SZesLK
233,Creedence Clearwater Revival,spotify:artist:3IYUhFvPQItj6xySrBmZkd
234,Florence + The Machine,spotify:artist:1moxjboGR7GNWYIMWsRjgG
235,Florida Georgia Line,spotify:artist:3b8QkneNDz4JHKKKlLgYZg
236,My Chemical Romance,spotify:artist:7FBcuc1gsnv6Y1nwFtNRCb
237,Alesso,spotify:artist:4AVFqumd2ogHFlRbKIjp1t
238,Arijit Singh,spotify:artist:4YRxDV8wJFPHPTeXepOstw
239,Glass Animals,spotify:artist:4yvcSjfu4PC0CYQyLy4wSq
240,The Script,spotify:artist:3AQRLZ9PuTAozP28Skbq8V
241,Zé Neto & Cristiano,spotify:artist:487N2T9nIPEHrlTZLL3SQs
242,Whitney Houston,spotify:artist:6XpaIBNiVzIetEPCWDvAFP
243,Piso 21,spotify:artist:4bw2Am3p9ji3mYsXNXtQcd
244,Five Finger Death Punch,spotify:artist:5t28BP42x2axFnqOOMg3CM
245,Bruce Springsteen,spotify:artist:3eqjTLE0HfPfh78zjh6TqT
246,Arcangel,spotify:artist:4SsVbpTthjScTS7U2hmr1X
247,Nickelback,spotify:artist:6deZN1bslXzeGvOLaLMOIF
248,Fifth Harmony,spotify:artist:1l8Fu6IkuTP0U5QetQJ5Xt
249,Lenny Tavárez,spotify:artist:1pQWsZQehhS4wavwh7Fnxd
250,Jason Mraz,spotify:artist:4phGZZrJZRo4ElhRtViYdl
251,Galantis,spotify:artist:4sTQVOfp9vEMCemLw50sbu
252,Avril Lavigne,spotify:artist:0p4nmQO2msCgU4IF37Wi3j
253,Glee Cast,spotify:artist:0SCbttzoZTnLFebDYmAWCm
254,Bring Me The Horizon,spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF
255,Ne-Yo,spotify:artist:21E3waRsmPlU7jZsS13rcj
256,Lil Durk,spotify:artist:3hcs9uc56yIGFCSy9leWe7
257,Kane Brown,spotify:artist:3oSJ7TBVCWMDMiYjXNiCKE
258,Kehlani,spotify:artist:0cGUm45nv7Z6M6qdXYQGTX
259,Kevin Gates,spotify:artist:1gPhS1zisyXr5dHTYZyiMe
260,Niall Horan,spotify:artist:1Hsdzj7Dlq2I7tHP7501T4
261,Bryson Tiller,spotify:artist:2EMAnMvWE2eb56ToJVfCWs
262,Jonas Brothers,spotify:artist:7gOdHgIoIKoe4i9Tta6qdD
263,Snoop Dogg,spotify:artist:7hJcb9fa4alzcOq3EaNPoG
264,Macklemore & Ryan Lewis,spotify:artist:5BcAKTbp20cv7tC5VqPFoC
265,Luke Bryan,spotify:artist:0BvkDsjIUla7X0k6CSWh1I
266,Natti Natasha,spotify:artist:1GDbiv3spRmZ1XdM1jQbT7
267,Wisin,spotify:artist:3E6xrwgnVfYCrCs0ePERDz
268,Aerosmith,spotify:artist:7Ey4PD4MYsKc5I2dolUwbH
269,Vance Joy,spotify:artist:10exVja0key0uqUkk6LJRT
270,Kelly Clarkson,spotify:artist:3BmGtnKgCSGYIUhmivXKWX
271,Stevie Wonder,spotify:artist:7guDJrEfX3qb6FEbdPA5qi
272,Jennifer Lopez,spotify:artist:2DlGxzQSjYe5N6G9nkYghR
273,Johnny Cash,spotify:artist:6kACVPfCOnqzgfEF5ryl0x
274,Maná,spotify:artist:7okwEbXzyT2VffBmyQBWLz
275,Thomas Rhett,spotify:artist:6x2LnllRG5uGarZMsD4iO8
276,Ryan Lewis,spotify:artist:6tJpiYDVpVlYXfJUMXTSRI
277,Hans Zimmer,spotify:artist:0YC192cP3KPCRWx8zr8MfZ
278,NAV,spotify:artist:7rkW85dBwwrJtlHRDkJDAC
